(('n2@268|4', (1, 405)), '+')
(('n2@24|3', (1, 404)), '+')
(('n2@23|3', (1, 403)), '-')
(('n2@267|3', (1, 402)), '-')
(('n2@266|3', (1, 401)), '-')
(('n2@623|7', (1, 400)), '-')
(('n2@622|11', (1, 399)), '+')
(('n2@628|7', (1, 398)), '+')
(('n2@627|7', (1, 397)), '+')
(('n2@626|7', (1, 396)), '+')
(('n2@625|7', (1, 395)), '-')
(('n2@945|3', (1, 394)), '+')
(('n2@944|3', (1, 393)), '-')
(('n2@943|3', (1, 392)), '-')
(('n2@942|5', (1, 391)), '-')
(('n2@941|5', (1, 390)), '-')
(('n2@168|3', (1, 389)), '-')
(('n2@621|7', (1, 388)), '-')
(('n2@622|9', (1, 387)), '-')
(('n2@265|3', (1, 386)), '+')
(('n2@264|3', (1, 385)), '-')
(('n2@263|3', (1, 384)), '-')
(('n2@262|3', (1, 383)), '-')
(('n2@261|3', (1, 382)), '+')
(('n2@260|3', (1, 381)), '+')
(('n2@259|3', (1, 380)), '+')
(('n2@258|7', (1, 379)), '-')
(('n2@250|15', (1, 378)), '+')
(('n2@255|13', (1, 377)), '-')
(('n2@254|13', (1, 376)), '+')
(('n2@255|12', (1, 375)), '-')
(('n2@254|12', (1, 374)), '+')
(('n2@677|13', (1, 373)), '+')
(('n2@102|3', (1, 372)), '-')
(('n2@319|3', (1, 371)), '-')
(('n2@361|9', (1, 370)), '+')
(('n2@362|9', (1, 369)), '-')
(('n2@365|3', (1, 368)), '+')
(('n2@364|5', (1, 367)), '+')
(('n2@318|3', (1, 366)), '-')
(('n2@246|15', (1, 365)), '-')
(('n2@250|13', (1, 364)), '+')
(('n2@910|9', (1, 363)), '-')
(('n2@909|9', (1, 362)), '+')
(('n2@908|9', (1, 361)), '-')
(('n2@907|13', (1, 360)), '+')
(('n2@246|13', (1, 359)), '-')
(('n2@250|11', (1, 358)), '-')
(('n2@910|7', (1, 357)), '-')
(('n2@320|3', (1, 356)), '+')
(('n2@106|3', (1, 355)), '+')
(('n2@892|3', (1, 354)), '-')
(('n2@891|5', (1, 353)), '+')
(('n2@85|3', (1, 352)), '-')
(('n2@890|5', (1, 351)), '+')
(('n2@105|3', (1, 350)), '+')
(('n2@104|3', (1, 349)), '-')
(('n2@103|3', (1, 348)), '+')
(('n2@253|9', (1, 347)), '-')
(('n2@252|9', (1, 346)), '-')
(('n2@251|11', (1, 345)), '-')
(('n2@907|11', (1, 344)), '-')
(('n2@258|5', (1, 343)), '-')
(('n2@250|9', (1, 342)), '+')
(('n2@255|7', (1, 341)), '-')
(('n2@254|7', (1, 340)), '+')
(('n2@677|11', (1, 339)), '+')
(('n2@253|7', (1, 338)), '-')
(('n2@252|7', (1, 337)), '-')
(('n2@251|9', (1, 336)), '-')
(('n2@907|9', (1, 335)), '-')
(('n2@908|7', (1, 334)), '+')
(('n2@909|7', (1, 333)), '-')
(('n2@245|7', (1, 332)), '-')
(('n2@244|7', (1, 331)), '+')
(('n2@243|7', (1, 330)), '+')
(('n2@242|7', (1, 329)), '-')
(('n2@241|7', (1, 328)), '+')
(('n2@240|7', (1, 327)), '-')
(('n2@249|5', (1, 326)), '-')
(('n2@248|5', (1, 325)), '-')
(('n2@247|5', (1, 324)), '-')
(('n2@283|3', (1, 323)), '-')
(('n2@284|3', (1, 322)), '-')
(('n2@285|3', (1, 321)), '+')
(('n2@286|3', (1, 320)), '-')
(('n2@287|3', (1, 319)), '-')
(('n2@288|3', (1, 318)), '+')
(('n2@289|3', (1, 317)), '+')
(('n2@593|3', (1, 316)), '+')
(('n2@206|3', (1, 315)), '-')
(('n2@207|5', (1, 314)), '-')
(('n2@874|5', (1, 313)), '-')
(('n2@208|5', (1, 312)), '-')
(('n2@207|4', (1, 311)), '-')
(('n2@208|4', (1, 310)), '-')
(('n2@456|9', (1, 309)), '+')
(('n2@457|9', (1, 308)), '+')
(('n2@209|3', (1, 307)), '+')
(('n2@210|3', (1, 306)), '+')
(('n2@211|3', (1, 305)), '-')
(('n2@212|3', (1, 304)), '+')
(('n2@290|3', (1, 303)), '-')
(('n2@292|7', (1, 302)), '+')
(('n2@293|7', (1, 301)), '-')
(('n2@446|7', (1, 300)), '+')
(('n2@246|11', (1, 299)), '+')
(('n2@291|11', (1, 298)), '-')
(('n2@292|5', (1, 297)), '+')
(('n2@293|5', (1, 296)), '-')
(('n2@446|5', (1, 295)), '+')
(('n2@246|9', (1, 294)), '+')
(('n2@245|5', (1, 293)), '-')
(('n2@244|5', (1, 292)), '+')
(('n2@243|5', (1, 291)), '+')
(('n2@242|5', (1, 290)), '-')
